SN,AT1,AT2,AT3,AT4,SN1,SN2,SN3,PBC1,PBC2,PBC3,EO1,EO2,EO3,EC1,EC2,EC3,EC4,EC5,GPI1,GPI2,GPI3,GPI4,GPB1,GPB2,GPB3,GPB4,GPB5,GPB6,Gender,Age,Marital_Status,PB,EC,EO,PI,PBC,SNs,ATT,CaseNo,ZPB,ZEC,ZEO,ZPI,ZPBC,ZSNs,ZATT,EOXEC,ATTXSN,PBCXSN,ATTXPBC
164,5,5,7,7,6,6,5,6,7,4,5,4,3,6,6,5,5,6,6,3,3,6,3,4,5,6,4,4,Female,24,Unmarried,4.3333,5.6000,4.0000,4.5000,5.6667,5.6667,6.0000,164,-0.2374,0.1144,-0.8998,-0.4982,0.7732,1.2208,1.0572,-0.1029,1.2906,0.9439,0.8174
165,7,6,5,7,5,5,4,6,6,5,5,5,5,7,5,6,5,7,6,7,5,4,4,3,3,6,5,2,Female,23,Unmarried,3.8333,6.0000,5.0000,5.5000,5.6667,4.6667,6.2500,165,-0.9287,0.7284,0.3586,0.7834,0.7732,-0.0837,1.3817,0.2612,-0.1157,-0.0647,1.0683
166,5,3,4,4,6,5,3,4,4,4,5,5,4,5,5,5,6,4,4,5,4,5,6,3,5,5,3,5,Female,20,Unmarried,4.5000,5.0000,4.6667,4.5000,4.0000,4.6667,4.0000,166,-0.0069,-0.8066,-0.0608,-0.4982,-1.2509,-0.0837,-1.5391,0.0491,0.1288,0.1047,1.9252
167,6,4,6,5,3,5,4,4,4,5,5,5,5,5,6,6,5,6,5,5,5,5,4,4,4,3,4,3,Female,21,Unmarried,3.6667,5.6000,5.0000,5.0000,4.3333,4.0000,5.2500,167,-1.1591,0.1144,0.3586,0.1426,-0.8461,-0.9534,0.0836,0.0410,-0.0797,0.8066,-0.0707
168,6,7,5,5,6,5,4,6,6,6,7,7,5,5,7,6,6,7,5,5,5,6,7,3,7,7,6,5,Female,23,Unmarried,5.8333,6.2000,6.3333,5.2500,6.0000,5.0000,5.7500,168,1.8366,1.0354,2.0365,0.4630,1.1780,0.3511,0.7326,2.1085,0.2572,0.4136,0.8630
169,5,4,4,2,4,4,6,6,5,5,4,3,5,5,5,5,4,5,4,4,5,3,5,3,2,4,4,3,Male,23,Unmarried,3.5000,4.8000,4.0000,4.0000,5.3333,4.6667,3.7500,169,-1.3896,-1.1136,-0.8998,-1.1390,0.3684,-0.0837,-1.8636,1.0020,0.1560,-0.0308,-0.6865
170,5,7,6,6,5,4,4,5,7,7,3,5,5,4,7,6,5,5,5,5,6,5,2,4,6,5,3,5,Male,23,Unmarried,4.1667,5.4000,4.3333,5.2500,6.3333,4.3333,6.0000,170,-0.4678,-0.1926,-0.4803,0.4630,1.5828,-0.5185,1.0572,0.0925,-0.5482,-0.8208,1.6733
171,5,5,6,5,6,4,6,4,4,6,5,4,4,5,5,5,5,5,6,5,4,6,4,3,3,5,5,3,Male,18,Unmarried,3.8333,5.0000,4.3333,5.2500,4.6667,5.3333,5.2500,171,-0.9287,-0.8066,-0.4803,0.4630,-0.4413,0.7860,0.0836,0.3874,0.0657,-0.3468,-0.0369
172,6,5,4,6,6,4,7,5,5,6,4,3,3,5,6,4,3,6,5,5,6,5,5,3,1,5,6,3,Male,22,Unmarried,3.8333,4.8000,3.3333,5.2500,5.3333,5.6667,5.2500,172,-0.9287,-1.1136,-1.7387,0.4630,0.3684,1.2208,0.0836,1.9363,0.1020,0.4497,0.0308
173,4,5,4,5,4,3,4,5,7,6,5,5,5,6,7,7,7,6,3,5,3,2,5,4,3,5,5,5,Female,23,Married,4.5000,6.6000,5.0000,3.2500,6.0000,3.6667,4.5000,173,-0.0069,1.6494,0.3586,-2.1002,1.1780,-1.3882,-0.8900,0.5915,1.2355,-1.6353,-1.0485
174,6,5,5,6,4,4,3,7,6,5,4,4,4,6,7,5,6,7,6,5,5,4,6,4,7,6,5,5,Female,21,Unmarried,5.5000,6.2000,4.0000,5.0000,6.0000,3.6667,5.5000,174,1.3757,1.0354,-0.8998,0.1426,1.1780,-1.3882,0.4081,-0.9316,-0.5665,-1.6353,0.4807
175,6,7,7,6,3,6,5,7,7,5,4,5,6,6,5,6,5,7,5,5,6,4,5,4,3,4,3,3,Female,22,Unmarried,3.6667,5.8000,5.0000,5.0000,6.3333,4.6667,6.5000,175,-1.1591,0.4214,0.3586,0.1426,1.5828,-0.0837,1.7062,0.1511,-0.1428,-0.1325,2.7007
176,3,5,5,5,6,7,5,4,3,4,5,5,3,5,5,7,6,6,6,7,6,5,6,3,4,5,3,5,Male,19,Unmarried,4.3333,5.8000,4.3333,6.0000,3.6667,6.0000,4.5000,176,-0.2374,0.4214,-0.4803,1.4242,-1.6557,1.6556,-0.8900,-0.2024,-1.4736,-2.7412,1.4736
177,6,6,5,4,5,5,5,6,6,6,5,7,5,6,6,6,7,5,5,6,5,4,6,4,4,4,5,5,Female,24,Unmarried,4.6667,6.0000,5.6667,5.0000,6.0000,5.0000,5.2500,177,0.2235,0.7284,1.1976,0.1426,1.1780,0.3511,0.0836,0.8723,0.0293,0.4136,0.0984
178,6,5,7,5,4,3,5,6,4,5,5,4,6,5,5,6,6,4,4,6,6,5,5,3,4,5,4,5,Male,20,Unmarried,4.3333,5.2000,5.0000,5.2500,5.0000,4.0000,5.7500,178,-0.2374,-0.4996,0.3586,0.4630,-0.0364,-0.9534,0.7326,-0.1792,-0.6985,0.0347,-0.0267
179,5,6,6,5,3,5,4,7,7,6,4,4,4,3,4,5,5,4,5,4,4,3,5,4,6,5,5,6,Male,20,Unmarried,5.1667,4.2000,4.0000,4.0000,6.6667,4.0000,5.5000,179,0.9149,-2.0346,-0.8998,-1.1390,1.9876,-0.9534,0.4081,1.8307,-0.3891,-1.8950,0.8112
180,4,4,3,6,4,3,3,5,4,5,3,4,2,5,6,5,5,6,4,5,5,4,6,3,3,4,5,4,Male,23,Unmarried,4.1667,5.4000,3.0000,4.5000,4.6667,3.3333,4.2500,180,-0.4678,-0.1926,-2.1582,-0.4982,-0.4413,-1.8231,-1.2146,0.4158,2.2142,0.8044,0.5359
181,7,7,5,7,5,6,5,5,7,5,7,7,7,6,5,7,5,6,7,6,7,6,5,6,5,6,5,5,Female,22,Unmarried,5.3333,5.8000,7.0000,6.5000,5.6667,5.3333,6.5000,181,1.1453,0.4214,2.8755,2.0650,0.7732,0.7860,1.7062,1.2116,1.3410,0.6077,1.3192
182,4,2,3,4,6,6,5,6,5,5,4,3,4,5,6,5,6,5,4,3,4,4,4,4,5,7,5,6,Female,25,Unmarried,5.1667,5.4000,3.6667,3.7500,5.3333,5.6667,3.2500,182,0.9149,-0.1926,-1.3192,-1.4594,0.3684,1.2208,-2.5127,0.2541,-3.0675,0.4497,-0.9256
183,4,4,5,4,6,6,5,5,5,4,5,3,4,5,6,6,5,6,5,5,5,5,5,5,3,5,6,4,Male,21,Unmarried,4.6667,5.6000,4.0000,5.0000,4.6667,5.6667,4.2500,183,0.2235,0.1144,-0.8998,0.1426,-0.4413,1.2208,-1.2146,-0.1029,-1.4827,-0.5387,0.5359
184,5,4,6,6,5,5,5,7,6,5,6,4,5,6,6,6,6,6,5,5,6,7,7,5,5,5,5,6,Female,23,Unmarried,5.5000,6.0000,5.0000,5.7500,6.0000,5.0000,5.2500,184,1.3757,0.7284,0.3586,1.1038,1.1780,0.3511,0.0836,0.2612,0.0293,0.4136,0.0984
185,3,3,4,3,6,4,5,3,5,5,5,4,5,5,5,5,6,5,5,5,4,3,4,4,4,5,4,3,Male,21,Unmarried,4.0000,5.2000,4.6667,4.2500,4.3333,5.0000,3.2500,185,-0.6982,-0.4996,-0.0608,-0.8186,-0.8461,0.3511,-2.5127,0.0304,-0.8823,-0.2971,2.1259
186,5,4,5,6,4,5,5,5,5,4,6,5,4,4,5,6,6,6,5,5,4,4,5,5,5,7,5,5,Male,21,Unmarried,5.3333,5.4000,5.0000,4.5000,4.6667,4.6667,5.0000,186,1.1453,-0.1926,0.3586,-0.4982,-0.4413,-0.0837,-0.2410,-0.0691,0.0202,0.0369,0.1063
187,5,5,5,5,6,4,4,5,6,6,5,5,5,6,5,5,5,7,4,7,4,4,5,4,5,6,5,5,Male,20,Unmarried,5.0000,5.6000,5.0000,4.7500,5.6667,4.6667,5.0000,187,0.6844,0.1144,0.3586,-0.1778,0.7732,-0.0837,-0.2410,0.0410,0.0202,-0.0647,-0.1863
188,5,5,5,6,5,4,4,5,4,4,5,3,3,5,5,5,5,6,6,6,5,5,4,3,4,4,4,5,Female,23,Unmarried,4.0000,5.2000,3.6667,5.5000,4.3333,4.3333,5.2500,188,-0.6982,-0.4996,-1.3192,0.7834,-0.8461,-0.5185,0.0836,0.6591,-0.0433,0.4387,-0.0707
189,7,7,7,6,6,5,3,6,5,6,4,6,5,6,7,6,6,7,5,5,5,4,4,6,5,6,6,6,Male,19,Unmarried,5.5000,6.4000,5.0000,4.7500,5.6667,4.6667,6.7500,189,1.3757,1.3424,0.3586,-0.1778,0.7732,-0.0837,2.0307,0.4814,-0.1700,-0.0647,1.5702
190,4,6,5,7,6,7,6,7,6,5,4,5,4,6,6,6,6,6,5,6,6,3,4,4,4,5,5,4,Female,21,Unmarried,4.3333,6.0000,4.3333,5.0000,6.0000,6.3333,5.5000,190,-0.2374,0.7284,-0.4803,0.1426,1.1780,2.0905,0.4081,-0.3498,0.8531,2.4626,0.4807
191,6,5,5,7,6,4,5,6,4,4,6,5,5,7,7,7,7,6,6,5,6,5,6,5,4,6,5,5,Female,21,Unmarried,5.1667,6.8000,5.3333,5.5000,4.6667,5.0000,5.7500,191,0.9149,1.9564,0.7781,0.7834,-0.4413,0.3511,0.7326,1.5223,0.2572,-0.1549,-0.3233
192,7,4,6,4,6,5,4,5,4,4,4,4,4,4,6,7,5,5,4,4,4,4,4,2,4,5,4,6,Female,21,Unmarried,4.1667,5.4000,4.0000,4.0000,4.3333,5.0000,5.2500,192,-0.4678,-0.1926,-0.8998,-1.1390,-0.8461,0.3511,0.0836,0.1733,0.0293,-0.2971,-0.0707
193,5,5,5,6,6,6,7,6,6,5,6,6,7,7,7,6,7,7,5,3,5,5,5,4,6,7,6,5,Female,22,Unmarried,5.5000,6.8000,6.3333,4.5000,5.6667,6.3333,5.2500,193,1.3757,1.9564,2.0365,-0.4982,0.7732,2.0905,0.0836,3.9842,0.1747,1.6164,0.0646
194,6,6,5,5,5,5,3,5,5,4,4,4,5,5,5,5,5,4,5,6,6,5,5,2,5,4,4,5,Female,24,Unmarried,4.1667,4.8000,4.3333,5.5000,4.6667,4.3333,5.5000,194,-0.4678,-1.1136,-0.4803,0.7834,-0.4413,-0.5185,0.4081,0.5349,-0.2116,0.2288,-0.1801
195,4,4,4,4,5,3,4,4,5,4,4,4,3,4,6,5,5,6,7,7,6,4,5,3,5,4,4,3,Male,22,Unmarried,4.0000,5.2000,3.6667,6.0000,4.3333,4.0000,4.0000,195,-0.6982,-0.4996,-1.3192,1.4242,-0.8461,-0.9534,-1.5391,0.6591,1.4673,0.8066,1.3022
196,6,6,6,5,5,5,3,7,4,5,4,5,4,6,6,6,5,5,5,7,7,5,5,6,5,7,5,4,Male,22,Unmarried,5.3333,5.6000,4.3333,6.0000,5.3333,4.3333,5.7500,196,1.1453,0.1144,-0.4803,1.4242,0.3684,-0.5185,0.7326,-0.0549,-0.3799,-0.1910,0.2699
197,6,6,6,4,5,4,4,7,6,6,4,5,4,4,5,4,4,6,6,5,6,5,5,4,5,5,5,4,Male,20,Unmarried,4.6667,4.6000,4.3333,5.5000,6.3333,4.3333,5.5000,197,0.2235,-1.4206,-0.4803,0.7834,1.5828,-0.5185,0.4081,0.6823,-0.2116,-0.8208,0.6459
198,5,5,5,4,4,5,5,6,5,6,5,4,4,6,4,7,5,6,5,4,4,4,5,3,4,4,5,4,Male,20,Unmarried,4.1667,5.6000,4.3333,4.2500,5.6667,4.6667,4.7500,198,-0.4678,0.1144,-0.4803,-0.8186,0.7732,-0.0837,-0.5655,-0.0549,0.0473,-0.0647,-0.4372
199,5,5,6,4,4,4,5,6,5,6,5,5,7,6,6,7,7,6,5,6,5,5,5,5,4,6,5,4,Male,22,Unmarried,4.8333,6.4000,5.6667,5.2500,5.6667,4.3333,5.0000,199,0.4540,1.3424,1.1976,0.4630,0.7732,-0.5185,-0.2410,1.6076,0.1249,-0.4009,-0.1863
200,6,5,7,4,4,7,4,4,3,3,5,5,4,4,4,5,5,4,5,6,4,3,4,5,4,5,5,5,Female,21,Unmarried,4.6667,4.4000,4.6667,4.5000,3.3333,5.0000,5.5000,200,0.2235,-1.7276,-0.0608,-0.4982,-2.0605,0.3511,0.4081,0.1051,0.1433,-0.7235,-0.8409
201,6,5,4,6,6,5,5,5,5,5,5,6,7,6,7,7,6,6,5,4,5,6,7,5,5,6,7,6,Male,20,Unmarried,6.0000,6.4000,6.0000,5.0000,5.0000,5.3333,5.2500,201,2.0671,1.3424,1.6171,0.1426,-0.0364,0.7860,0.0836,2.1707,0.0657,-0.0286,-0.0030
202,5,4,4,5,2,4,4,4,5,5,4,3,3,6,5,5,5,6,4,4,4,3,3,3,3,4,3,3,Male,20,Unmarried,3.1667,5.4000,3.3333,3.7500,4.6667,3.3333,4.5000,202,-1.8504,-0.1926,-1.7387,-1.4594,-0.4413,-1.8231,-0.8900,0.3349,1.6226,0.8044,0.3927
203,5,6,6,6,5,4,3,4,5,5,5,5,5,6,5,5,6,6,4,4,2,5,5,4,5,5,3,5,Male,21,Unmarried,4.5000,5.6000,5.0000,3.7500,4.6667,4.0000,5.7500,203,-0.0069,0.1144,0.3586,-1.4594,-0.4413,-0.9534,0.7326,0.0410,-0.6985,0.4207,-0.3233
204,6,6,5,5,4,4,4,5,4,6,6,5,4,7,7,7,7,7,5,7,6,7,5,3,5,4,4,3,Male,19,Unmarried,4.0000,7.0000,5.0000,6.2500,5.0000,4.0000,5.5000,204,-0.6982,2.2633,0.3586,1.7446,-0.0364,-0.9534,0.4081,0.8117,-0.3891,0.0347,-0.0149
205,4,5,4,4,5,6,5,5,6,4,6,6,5,6,5,5,5,5,4,7,4,5,5,4,4,7,6,4,Male,21,Unmarried,5.0000,5.2000,5.6667,5.0000,5.0000,5.3333,4.2500,205,0.6844,-0.4996,1.1976,0.1426,-0.0364,0.7860,-1.2146,-0.5984,-0.9546,-0.0286,0.0443
206,6,6,5,5,5,4,6,6,5,5,5,5,5,5,7,6,6,7,5,6,6,6,6,4,5,6,7,5,Female,20,Unmarried,5.5000,6.2000,5.0000,5.7500,5.3333,5.0000,5.5000,206,1.3757,1.0354,0.3586,1.1038,0.3684,0.3511,0.4081,0.3713,0.1433,0.1294,0.1503
207,6,6,6,7,6,5,4,6,5,5,7,2,4,6,4,5,6,4,6,7,6,4,6,5,5,7,4,5,Male,19,Unmarried,5.3333,5.0000,4.3333,5.7500,5.3333,5.0000,6.2500,207,1.1453,-0.8066,-0.4803,1.1038,0.3684,0.3511,1.3817,0.3874,0.4852,0.1294,0.5090
208,6,7,6,5,4,4,7,6,4,4,4,5,5,5,6,5,6,7,5,5,5,3,5,5,2,4,3,5,Female,20,Unmarried,4.0000,5.8000,4.6667,4.5000,4.6667,5.0000,6.0000,208,-0.6982,0.4214,-0.0608,-0.4982,-0.4413,0.3511,1.0572,-0.0256,0.3712,-0.1549,-0.4665
209,6,7,5,7,3,3,6,4,5,3,5,4,5,6,5,5,5,3,5,5,6,5,5,2,6,4,3,4,Female,18,Unmarried,4.0000,4.8000,4.6667,5.2500,4.0000,4.0000,6.2500,209,-0.6982,-1.1136,-0.0608,0.4630,-1.2509,-0.9534,1.3817,0.0677,-1.3173,1.1926,-1.7283
210,6,7,6,6,6,4,5,5,5,6,5,6,4,6,6,6,6,5,4,6,5,7,7,4,3,4,6,5,Male,20,Unmarried,4.8333,5.8000,5.0000,5.5000,5.3333,5.0000,6.2500,210,0.4540,0.4214,0.3586,0.7834,0.3684,0.3511,1.3817,0.1511,0.4852,0.1294,0.5090
211,6,4,5,6,4,4,5,7,5,5,5,7,7,5,6,6,6,6,5,6,7,6,4,4,6,5,6,5,Female,21,Unmarried,5.0000,5.8000,6.3333,6.0000,5.6667,4.3333,5.2500,211,0.6844,0.4214,2.0365,1.4242,0.7732,-0.5185,0.0836,0.8581,-0.0433,-0.4009,0.0646
212,6,6,6,5,4,5,5,5,4,5,5,5,4,5,6,5,5,5,4,5,4,4,4,4,5,4,5,4,Male,21,Unmarried,4.3333,5.2000,4.6667,4.2500,4.6667,4.6667,5.7500,212,-0.2374,-0.4996,-0.0608,-0.8186,-0.4413,-0.0837,0.7326,0.0304,-0.0613,0.0369,-0.3233
213,6,4,6,6,5,7,5,6,6,6,6,5,6,7,6,6,6,6,7,6,6,7,5,5,5,6,5,4,Male,20,Unmarried,5.0000,6.2000,5.6667,6.5000,6.0000,5.6667,5.5000,213,0.6844,1.0354,1.1976,2.0650,1.1780,1.2208,0.4081,1.2399,0.4982,1.4381,0.4807
214,5,5,6,5,4,5,4,5,6,5,5,4,4,5,6,7,6,6,6,4,5,4,5,2,4,5,4,3,Female,21,Unmarried,3.8333,6.0000,4.3333,4.7500,5.3333,4.3333,5.2500,214,-0.9287,0.7284,-0.4803,-0.1778,0.3684,-0.5185,0.0836,-0.3498,-0.0433,-0.1910,0.0308
215,5,5,6,5,4,6,3,5,3,5,4,5,4,6,6,5,5,6,6,4,6,4,4,3,4,4,4,3,Male,22,Unmarried,3.6667,5.6000,4.3333,5.0000,4.3333,4.3333,5.2500,215,-1.1591,0.1144,-0.4803,0.1426,-0.8461,-0.5185,0.0836,-0.0549,-0.0433,0.4387,-0.0707
216,6,5,5,5,4,6,4,4,5,5,5,3,3,4,6,6,5,6,5,5,4,4,6,4,4,5,6,3,Male,19,Unmarried,4.6667,5.4000,3.6667,4.5000,4.6667,4.6667,5.2500,216,0.2235,-0.1926,-1.3192,-0.4982,-0.4413,-0.0837,0.0836,0.2541,-0.0070,0.0369,-0.0369
217,5,5,5,5,3,4,4,4,4,4,6,6,5,6,5,5,6,5,5,6,6,4,6,2,5,5,3,4,Male,23,Unmarried,4.1667,5.4000,5.6667,5.2500,4.0000,3.6667,5.0000,217,-0.4678,-0.1926,1.1976,0.4630,-1.2509,-1.3882,-0.2410,-0.2307,0.3345,1.7365,0.3014
218,7,6,7,7,4,5,4,6,5,5,7,6,7,5,5,5,6,5,5,5,5,6,7,6,4,6,5,4,Female,19,Unmarried,5.3333,5.2000,6.6667,5.2500,5.3333,4.3333,6.7500,218,1.1453,-0.4996,2.4560,0.4630,0.3684,-0.5185,2.0307,-1.2271,-1.0530,-0.1910,0.7481
219,5,6,6,6,4,6,4,4,4,3,7,5,4,6,5,6,5,5,4,5,5,5,4,3,4,4,4,5,Female,20,Unmarried,4.0000,5.4000,5.3333,4.7500,3.6667,4.6667,5.7500,219,-0.6982,-0.1926,0.7781,-0.1778,-1.6557,-0.0837,0.7326,-0.1499,-0.0613,0.1386,-1.2130
220,3,6,4,5,4,5,4,4,4,3,4,4,2,4,6,5,5,5,2,5,4,4,5,4,4,5,3,5,Female,20,Unmarried,4.3333,5.0000,3.3333,3.7500,3.6667,4.3333,4.5000,220,-0.2374,-0.8066,-1.7387,-1.4594,-1.6557,-0.5185,-0.8900,1.4025,0.4615,0.8586,1.4736
221,5,5,6,5,4,4,6,6,5,5,3,4,3,3,5,5,3,4,5,5,6,4,5,4,4,5,5,4,Male,23,Unmarried,4.5000,4.0000,3.3333,5.0000,5.3333,4.6667,5.2500,221,-0.0069,-2.3416,-1.7387,0.1426,0.3684,-0.0837,0.0836,4.0714,-0.0070,-0.0308,0.0308
222,6,5,6,5,5,5,5,6,4,3,6,4,4,5,5,6,5,5,6,6,4,6,4,3,4,6,5,4,Male,24,Unmarried,4.3333,5.2000,4.6667,5.5000,4.3333,5.0000,5.5000,222,-0.2374,-0.4996,-0.0608,0.7834,-0.8461,0.3511,0.4081,0.0304,0.1433,-0.2971,-0.3453
223,6,5,5,5,5,4,4,4,4,5,6,4,7,5,7,6,5,7,5,4,4,6,5,5,4,5,4,6,Male,21,Unmarried,4.8333,6.0000,5.6667,4.7500,4.3333,4.3333,5.2500,223,0.4540,0.7284,1.1976,-0.1778,-0.8461,-0.5185,0.0836,0.8723,-0.0433,0.4387,-0.0707
224,5,5,5,6,3,3,5,5,4,5,6,5,5,6,7,7,6,6,6,5,5,6,5,3,3,4,4,3,Female,23,Unmarried,3.6667,6.4000,5.3333,5.5000,4.6667,3.6667,5.2500,224,-1.1591,1.3424,0.7781,0.7834,-0.4413,-1.3882,0.0836,1.0445,-0.1160,0.6126,-0.0369
225,6,6,7,6,7,4,5,7,4,5,4,4,5,5,6,7,6,5,6,4,6,3,5,4,3,5,4,3,Female,19,Unmarried,4.0000,5.8000,4.3333,4.7500,5.3333,5.3333,6.2500,225,-0.6982,0.4214,-0.4803,-0.1778,0.3684,0.7860,1.3817,-0.2024,1.0860,0.2895,0.5090
226,4,6,6,5,6,4,4,6,6,7,6,7,5,6,6,6,7,6,6,6,5,5,4,4,4,6,5,5,Female,22,Unmarried,4.6667,6.2000,6.0000,5.5000,6.3333,4.6667,5.2500,226,0.2235,1.0354,1.6171,0.7834,1.5828,-0.0837,0.0836,1.6742,-0.0070,-0.1325,0.1323
227,5,5,5,5,5,7,5,6,5,6,5,6,6,7,7,7,6,7,4,4,5,4,6,3,4,6,5,5,Female,21,Unmarried,4.8333,6.8000,5.6667,4.2500,5.6667,5.6667,5.0000,227,0.4540,1.9564,1.1976,-0.8186,0.7732,1.2208,-0.2410,2.3429,-0.2942,0.9439,-0.1863
228,5,5,6,6,5,6,4,5,4,4,5,5,4,5,7,7,7,7,4,4,3,3,5,4,5,5,5,4,Male,19,Unmarried,4.6667,6.6000,4.6667,3.5000,4.3333,5.0000,5.5000,228,0.2235,1.6494,-0.0608,-1.7798,-0.8461,0.3511,0.4081,-0.1003,0.1433,-0.2971,-0.3453
229,5,3,5,4,4,4,4,7,5,4,5,4,5,7,6,5,6,6,4,5,4,4,6,6,4,6,5,6,Female,20,Unmarried,5.5000,6.0000,4.6667,4.2500,5.3333,4.0000,4.2500,229,1.3757,0.7284,-0.0608,-0.8186,0.3684,-0.9534,-1.2146,-0.0443,1.1579,-0.3512,-0.4474
230,5,5,6,5,5,4,5,5,4,6,2,5,4,5,5,6,6,5,7,6,6,7,3,3,4,5,3,3,Female,22,Unmarried,3.5000,5.4000,3.6667,6.5000,5.0000,4.6667,5.2500,230,-1.3896,-0.1926,-1.3192,2.0650,-0.0364,-0.0837,0.0836,0.2541,-0.0070,0.0030,-0.0030
231,6,5,5,6,4,4,5,5,5,6,5,3,4,5,6,7,6,5,5,6,5,5,6,5,4,5,4,5,Female,19,Unmarried,4.8333,5.8000,4.0000,5.2500,5.3333,4.3333,5.5000,231,0.4540,0.4214,-0.8998,0.4630,0.3684,-0.5185,0.4081,-0.3791,-0.2116,-0.1910,0.1503
232,5,4,5,6,5,5,4,5,3,5,5,5,5,5,6,5,5,5,5,5,5,5,5,3,2,5,3,5,Female,20,Unmarried,3.8333,5.2000,5.0000,5.0000,4.3333,4.6667,5.0000,232,-0.9287,-0.4996,0.3586,0.1426,-0.8461,-0.0837,-0.2410,-0.1792,0.0202,0.0708,0.2039
233,5,6,6,6,4,2,3,5,4,3,6,5,6,4,6,5,6,6,5,6,5,4,7,5,4,4,5,5,Male,18,Unmarried,5.0000,5.4000,5.6667,5.0000,4.0000,3.0000,5.7500,233,0.6844,-0.1926,1.1976,0.1426,-1.2509,-2.2579,0.7326,-0.2307,-1.6542,2.8244,-0.9164
234,5,4,3,5,2,4,2,5,5,4,5,5,3,6,6,5,7,6,3,4,1,2,6,6,4,4,4,4,Female,22,Unmarried,4.6667,6.0000,4.3333,2.5000,4.6667,2.6667,4.2500,234,0.2235,0.7284,-0.4803,-3.0614,-0.4413,-2.6927,-1.2146,-0.3498,3.2705,1.1882,0.5359
235,7,4,5,4,5,4,4,6,5,5,4,4,4,5,5,6,5,6,6,5,5,5,5,5,4,5,5,6,Male,23,Unmarried,5.0000,5.4000,4.0000,5.2500,5.3333,4.3333,5.0000,235,0.6844,-0.1926,-0.8998,0.4630,0.3684,-0.5185,-0.2410,0.1733,0.1249,-0.1910,-0.0888
236,4,5,6,5,6,4,5,6,5,5,6,4,5,6,4,6,6,5,5,4,4,4,6,4,3,5,5,4,Female,23,Unmarried,4.5000,5.4000,5.0000,4.2500,5.3333,5.0000,5.0000,236,-0.0069,-0.1926,0.3586,-0.8186,0.3684,0.3511,-0.2410,-0.0691,-0.0846,0.1294,-0.0888
237,5,5,4,5,3,5,2,5,4,5,6,5,3,5,6,6,6,5,5,4,4,5,6,4,7,4,4,2,Female,19,Unmarried,4.5000,5.6000,4.6667,4.5000,4.6667,3.3333,4.7500,237,-0.0069,0.1144,-0.0608,-0.4982,-0.4413,-1.8231,-0.5655,-0.0070,1.0309,0.8044,0.2495
238,4,4,6,5,5,4,5,7,6,5,4,4,4,5,4,5,5,6,4,4,5,4,4,2,4,5,4,4,Male,23,Unmarried,3.8333,5.0000,4.0000,4.2500,6.0000,4.6667,4.7500,238,-0.9287,-0.8066,-0.8998,-0.8186,1.1780,-0.0837,-0.5655,0.7258,0.0473,-0.0986,-0.6662
239,6,4,5,5,4,5,3,6,5,5,5,5,4,6,6,6,7,6,4,5,5,7,4,4,2,6,4,4,Female,23,Unmarried,4.0000,6.2000,4.6667,5.2500,5.3333,4.0000,5.0000,239,-0.6982,1.0354,-0.0608,0.4630,0.3684,-0.9534,-0.2410,-0.0630,0.2297,-0.3512,-0.0888
240,7,6,6,7,6,4,4,7,5,5,6,5,6,7,6,7,6,7,4,7,6,5,7,3,6,5,6,6,Male,21,Unmarried,5.5000,6.6000,5.6667,5.5000,5.6667,4.6667,6.5000,240,1.3757,1.6494,1.1976,0.7834,0.7732,-0.0837,1.7062,1.9753,-0.1428,-0.0647,1.3192
241,4,5,5,4,4,6,4,6,6,6,5,5,5,4,5,5,4,5,5,5,4,4,5,4,3,5,4,5,Male,20,Unmarried,4.3333,4.6000,5.0000,4.5000,6.0000,4.6667,4.5000,241,-0.2374,-1.4206,0.3586,-0.4982,1.1780,-0.0837,-0.8900,-0.5095,0.0745,-0.0986,-1.0485
242,5,5,5,3,3,4,2,6,4,6,7,7,6,6,6,5,7,6,4,4,5,4,3,3,4,4,4,3,Male,21,Unmarried,3.5000,6.0000,6.6667,4.2500,5.3333,3.0000,4.5000,242,-1.3896,0.7284,2.4560,-0.8186,0.3684,-2.2579,-0.8900,1.7889,2.0096,-0.8318,-0.3279
243,5,4,5,5,4,5,3,5,5,5,5,4,5,5,6,6,5,6,4,6,4,3,5,4,5,5,4,4,Female,19,Unmarried,4.5000,5.6000,4.6667,4.2500,5.0000,4.0000,4.7500,243,-0.0069,0.1144,-0.0608,-0.8186,-0.0364,-0.9534,-0.5655,-0.0070,0.5391,0.0347,0.0206
244,6,4,6,5,6,5,6,6,5,4,5,6,4,6,5,6,7,5,6,6,5,4,4,2,2,5,5,5,Female,23,Unmarried,3.8333,5.8000,5.0000,5.2500,5.0000,5.6667,5.2500,244,-0.9287,0.4214,0.3586,0.4630,-0.0364,1.2208,0.0836,0.1511,0.1020,-0.0445,-0.0030
245,6,4,4,5,5,5,4,6,5,4,6,6,3,4,6,6,6,6,4,3,3,3,5,4,4,5,4,6,Female,22,Unmarried,4.6667,5.6000,5.0000,3.2500,5.0000,4.6667,4.7500,245,0.2235,0.1144,0.3586,-2.1002,-0.0364,-0.0837,-0.5655,0.0410,0.0473,0.0030,0.0206
